Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
SH2-121;HII;21:05:12.7;+49:38:59.24;Cyg;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-121, Sh 2-121, Sharpless 121;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-122;HII;23:08:47.29;+14:55:29.86;Peg;40.00;;;;;;;;;;;;;;;;;;;;;;SH 2-122, Sh 2-122, Sharpless 122;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-123;HII;21:42:22.79;+44:32:24.22;Cyg;13.00;;;;;;;;;;;;;;;;;;;;;;SH 2-123, Sh 2-123, Sharpless 123;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-124;HII;21:38:21.71;+50:21:04.67;Cyg;70.00;;;;;;;;;;;;;;;;;;;;;;SH 2-124, Sh 2-124, Sharpless 124;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-126;HII;22:34:37.9;+40:40:00;Lac;160.00;;;;;;;;;;;;;;;;;;;;;;SH 2-126, Sh 2-126, Sharpless 126;Great Lacerta Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-127;HII;21:28:41.91;+54:37:14.71;Cyg;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-127, Sh 2-127, Sharpless 127;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-128;HII;21:32:08.82;+55:51:33.33;Cep;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-128, Sh 2-128, Sharpless 128;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-129;HII;21:11:48;+59:57:00;Cep;140.00;;;;;;;;;;;;;;;;;;;;;;SH 2-129, Sh 2-129, Sharpless 129;Flying Bat Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-130;HII;20:42:59.65;+63:13:42.5;Cep;3.00;;;;;;;;;;;;;;;;;;;;;;SH 2-130, Sh 2-130, Sharpless 130;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-132;HII;22:18:47.67;+56:08:05.23;Cep;42.00;30.00;;;;;;;;;;;;;;;;;;;;;SH 2-132, Sh 2-132, Sharpless 132;Lion Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
